Pressure_1,Pressure_2,input_state,feedback_state,labels
46.967109908405966,24.612311824572714,1,1,0
46.94034662045279,31.196084589795746,1,1,0
53.553434683825536,35.161072118180314,1,1,0
71.08893611082681,52.947956333518476,1,1,0
65.64312863891924,46.00593839977072,1,1,0
50.42284559087401,32.73458939328483,1,1,0
68.13544789055621,52.682118873073904,1,1,0
55.72542765178402,36.51524512034479,1,1,0
69.50068799567983,51.35288165530561,1,1,0
58.533495232576456,41.99531372528729,1,1,0
72.61554230857033,48.723156701165976,1,1,0
57.23515863220209,40.334126835356685,1,1,0
55.33413516738146,35.36365788450576,1,1,0
64.53161636020934,45.32934871614724,1,1,0
48.728692712474285,30.204380134725447,1,1,0
71.60071634194651,48.30201609160673,1,1,0
67.78090736064874,46.534867480738036,1,1,0
54.84518545994678,35.617108999314176,1,1,0
59.376159220191525,34.860824259219925,1,1,0
63.45279898984067,41.784270996688505,1,1,0
47.271321540464214,26.483082985588656,1,1,0
64.03001425372412,48.67317810676956,1,1,0
74.97303465690169,53.66331708040579,1,1,0
73.21501801999779,51.20252718086061,1,1,0
53.64436102626007,32.50418093591707,1,1,0
47.040410346638794,30.93263645039235,1,1,0
66.22313384256611,43.40532680260832,1,1,0
73.53935356417358,53.85330163937672,1,1,0
45.96760685148123,29.733470082528587,1,1,0
67.04205217742148,45.798194744248114,1,1,0
70.13067477721599,47.5579047069706,1,1,0
70.87901108539796,52.35864736185176,1,1,0
73.10919451292018,54.8457519805384,1,1,0
58.382390399335534,38.82326892032748,1,1,0
74.7231106400605,57.71747924656658,1,1,0
50.836627692355265,30.150629557235213,1,1,0
60.03694622078213,44.784560948257266,1,1,0
63.06859308029593,42.91929707736274,1,1,0
59.58292619322337,40.420059774693286,1,1,0
67.7204538051,49.70682243862561,1,1,0
67.74817953805258,51.54076647481243,1,1,0
60.01145912422169,41.27541548667969,1,1,0
54.31863882676388,36.77082772288405,1,1,0
48.48293988980786,24.51572498037244,1,1,0
50.10012518732435,33.683383499381414,1,1,0
52.56239032971529,31.36473989894482,1,1,0
56.44907563209063,37.6162373075249,1,1,0
63.2190122550473,45.534084438981665,1,1,0
48.94833963008356,25.426816015280217,1,1,0
58.05283494147226,35.87632869600166,1,1,0
73.6046440525468,54.758451936133454,1,1,0
72.08173800360248,48.051373797674806,1,1,0
73.25786446500007,53.836003090523675,1,1,0
50.912846950763,30.631853725441516,1,1,0
59.125117123987486,37.88934181919652,1,1,0
61.479018158787916,40.898755012455666,1,1,0
74.53558755997857,51.87436365765564,1,1,0
64.7255184707321,40.869927999270594,1,1,0
68.99549504211788,50.353147751904906,1,1,0
48.21933207955249,25.54257321437117,1,1,0
74.14552198127011,54.51639521292063,1,1,0
61.23185238909057,44.38752387253567,1,1,0
